item,itemLabel,ISO639_1,ISO639_2,ISO639_3,country,countryLabel
http://www.wikidata.org/entity/Q25164,Nynorsk,nn,nno,nno,http://www.wikidata.org/entity/Q20,Norway
http://www.wikidata.org/entity/Q28244,Amharic,am,amh,amh,http://www.wikidata.org/entity/Q115,Ethiopia
http://www.wikidata.org/entity/Q150,French,fr,fre,fra,http://www.wikidata.org/entity/Q16,Canada
http://www.wikidata.org/entity/Q150,French,fr,fre,fra,http://www.wikidata.org/entity/Q31,Belgium
http://www.wikidata.org/entity/Q150,French,fr,fre,fra,http://www.wikidata.org/entity/Q32,Luxembourg
http://www.wikidata.org/entity/Q150,French,fr,fre,fra,http://www.wikidata.org/entity/Q39,Switzerland
http://www.wikidata.org/entity/Q150,French,fr,fre,fra,http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q150,French,fr,fre,fra,http://www.wikidata.org/entity/Q235,Monaco
http://www.wikidata.org/entity/Q150,French,fr,fre,fra,http://www.wikidata.org/entity/Q965,Burkina Faso
http://www.wikidata.org/entity/Q150,French,fr,fre,fra,http://www.wikidata.org/entity/Q967,Burundi
http://www.wikidata.org/entity/Q150,French,fr,fre,fra,http://www.wikidata.org/entity/Q970,Comoros
http://www.wikidata.org/entity/Q188,German,de,deu,deu,http://www.wikidata.org/entity/Q31,Belgium
http://www.wikidata.org/entity/Q188,German,de,deu,deu,http://www.wikidata.org/entity/Q32,Luxembourg
http://www.wikidata.org/entity/Q188,German,de,deu,deu,http://www.wikidata.org/entity/Q39,Switzerland
http://www.wikidata.org/entity/Q188,German,de,deu,deu,http://www.wikidata.org/entity/Q40,Austria
http://www.wikidata.org/entity/Q188,German,de,deu,deu,http://www.wikidata.org/entity/Q183,Germany
http://www.wikidata.org/entity/Q33549,Javanese,jv,jav,jav,http://www.wikidata.org/entity/Q252,Indonesia
http://www.wikidata.org/entity/Q33583,Kirundi,rn,run,run,http://www.wikidata.org/entity/Q967,Burundi
http://www.wikidata.org/entity/Q36510,Modern Greek,el,ell,ell,http://www.wikidata.org/entity/Q229,Cyprus
